p1,p2,alphaD_true,alphaD_main_pred,rel_abs
1.485999941825866699e+00,2.500000000000000000e+00,1.696495077137799967e+01,1.696172142028808594e+01,1.903542859294384112e-04
1.613999962806701660e+00,2.500000000000000000e+00,1.730444534142799995e+01,1.730592346191406250e+01,8.541854170406904011e-05
1.743000030517578125e+00,2.500000000000000000e+00,1.765555009354200067e+01,1.766448783874511719e+01,5.062286451434750518e-04
1.871000051498413086e+00,2.500000000000000000e+00,1.800299403409199783e+01,1.803023910522460938e+01,1.513363337288117999e-03
2.000000000000000000e+00,2.500000000000000000e+00,1.834239188542400001e+01,1.840809059143066406e+01,3.581796006597825956e-03
2.000000029802322388e-01,2.750000000000000000e+00,1.513665084096199820e+01,1.497493362426757812e+01,1.068381760229215015e-02
3.289999961853027344e-01,2.750000000000000000e+00,1.487788942923899960e+01,1.482118892669677734e+01,3.811058202300571240e-03
4.569999873638153076e-01,2.750000000000000000e+00,1.474850013473000132e+01,1.475796890258789062e+01,6.420156471092338312e-04
5.860000252723693848e-01,2.750000000000000000e+00,1.474912528329399919e+01,1.475308990478515625e+01,2.688038385332382012e-04
7.139999866485595703e-01,2.750000000000000000e+00,1.482890939136499853e+01,1.483633899688720703e+01,5.010217087532295400e-04
8.429999947547912598e-01,2.750000000000000000e+00,1.497571749500200156e+01,1.498782348632812500e+01,8.083747126081738000e-04
9.710000157356262207e-01,2.750000000000000000e+00,1.519812520016800050e+01,1.517073249816894531e+01,1.802373755859860288e-03
1.100000023841857910e+00,2.750000000000000000e+00,1.544487038358400000e+01,1.544929027557373047e+01,2.861721646060737365e-04
1.228999972343444824e+00,2.750000000000000000e+00,1.573565911021799835e+01,1.573854923248291016e+01,1.836670612059141587e-04
1.356999993324279785e+00,2.750000000000000000e+00,1.605983444377899971e+01,1.605493736267089844e+01,3.049272472418436191e-04
1.485999941825866699e+00,2.750000000000000000e+00,1.639194782737200029e+01,1.638755035400390625e+01,2.682703370218726810e-04
1.613999962806701660e+00,2.750000000000000000e+00,1.673187014888300084e+01,1.673205947875976562e+01,1.131552391215677547e-05
1.743000030517578125e+00,2.750000000000000000e+00,1.708616611090700133e+01,1.709401512145996094e+01,4.593781016766057524e-04
1.871000051498413086e+00,2.750000000000000000e+00,1.743271781554500066e+01,1.746632194519042969e+01,1.927647197699933462e-03
2.000000000000000000e+00,2.750000000000000000e+00,1.778643381039900007e+01,1.785347747802734375e+01,3.769370990442502071e-03
2.000000029802322388e-01,3.000000000000000000e+00,1.513154247056399981e+01,1.504001808166503906e+01,6.048582890806197300e-03
3.289999961853027344e-01,3.000000000000000000e+00,1.472625400024200104e+01,1.470684146881103516e+01,1.318226035667106671e-03
4.569999873638153076e-01,3.000000000000000000e+00,1.449949479235500149e+01,1.451284027099609375e+01,9.204099061526466955e-04
5.860000252723693848e-01,3.000000000000000000e+00,1.442178040087999946e+01,1.442571067810058594e+01,2.725237183854674794e-04
7.139999866485595703e-01,3.000000000000000000e+00,1.444285961291300069e+01,1.445945549011230469e+01,1.149071419656121258e-03
8.429999947547912598e-01,3.000000000000000000e+00,1.455033396021400094e+01,1.454378032684326172e+01,4.504111994033456229e-04
9.710000157356262207e-01,3.000000000000000000e+00,1.471919368594799948e+01,1.470976161956787109e+01,6.408004800652170345e-04
