model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,test/extrapolation region,119,2.0,0.5,0.0008435830004600575,0.8435830004600575,0.10494879161245214,0.08223487417640754,0.07679390194305524,0.10494879161245214
EM1,8,0.9,test/extrapolation region,120,0.0,0.571,0.0008463329995720414,0.8463329995720414,0.07863969314855368,0.07863969314855368,0.06511415603394159,0.013558943432819062
EM1,8,0.9,test/extrapolation region,121,0.143,0.571,0.0008259170008386718,0.8259170008386718,0.07764170628714964,0.07764170628714964,0.07299341460769602,0.006312046347420112
EM1,8,0.9,fit region,122,0.286,0.571,0.0008659159993840149,0.8659159993840149,0.0780221753484345,0.0780221753484345,0.08108976123874204,0.0009798119494928948
EM1,8,0.9,fit region,123,0.429,0.571,0.0008322080011566868,0.8322080011566868,0.07935092743914499,0.07935092743914499,0.08882095649345562,0.001759646479935314
EM1,8,0.9,fit region,124,0.571,0.571,0.0008819169997877907,0.8819169997877907,0.0813359087924914,0.0813359087924914,0.09664588678927008,0.0018026000868347557
EM1,8,0.9,fit region,125,0.714,0.571,0.0008425830001215218,0.8425830001215218,0.08387864509221074,0.08387864509221074,0.10556314194240747,0.00017860628884672713
EM1,8,0.9,fit region,126,0.857,0.571,0.00085774999934074,0.85774999934074,0.08676184824043988,0.08676184824043988,0.11709689451174578,0.002707431309893582
EM1,8,0.9,fit region,127,1.0,0.571,0.0008414170006290078,0.8414170006290078,0.08881286863126041,0.08881286863126041,0.11643983562236156,0.003905396529814558
EM1,8,0.9,fit region,128,1.143,0.571,0.0008677499990881188,0.8677499990881188,0.08583529449232294,0.08583529449232294,0.08294338271036084,0.002435000780430562
EM1,8,0.9,fit region,129,1.286,0.571,0.0008414580006501637,0.8414580006501637,0.07123051975351183,0.07123051975351183,0.04818338231062203,0.0014010177638681053
EM1,8,0.9,fit region,130,1.429,0.571,0.000848749999931897,0.848749999931897,0.06756372109135388,0.06756372109135388,0.0601781701618174,0.0049896422408350245
EM1,8,0.9,fit region,131,1.571,0.571,0.000842249999550404,0.842249999550404,0.059954802826780486,0.059954802826780486,0.042240719137484894,0.003493295652448939
EM1,8,0.9,fit region,132,1.714,0.571,0.0008440000001428416,0.8440000001428416,0.038669782617347895,0.038669782617347895,0.02903812869723582,0.009907983189252699
EM1,8,0.9,test/extrapolation region,133,1.857,0.571,0.0008382080013689119,0.8382080013689119,0.05661033940929138,0.05661033940929138,0.04638339621998708,0.04415683518810214
EM1,8,0.9,test/extrapolation region,134,2.0,0.571,0.0008421250004175818,0.8421250004175818,0.11174726663294156,0.07277254877777614,0.08312128743797244,0.11174726663294156
EM1,8,0.9,test/extrapolation region,135,0.0,0.643,0.000844458001665771,0.844458001665771,0.08135058425244479,0.08135058425244479,0.07485880666604829,0.015890914585552373
EM1,8,0.9,test/extrapolation region,136,0.143,0.643,0.000857999999425374,0.857999999425374,0.0791094222483211,0.0791094222483211,0.07249644221835216,0.00801246121697857
EM1,8,0.9,fit region,137,0.286,0.643,0.0008357089991477551,0.8357089991477551,0.07809490948555452,0.07809490948555452,0.07629041095422856,0.002337686270673981
EM1,8,0.9,fit region,138,0.429,0.643,0.0008509170002071187,0.8509170002071187,0.07817173038698837,0.07817173038698837,0.0837359526687108,0.000490097465200543
